Timestamp,Interface,Sequence Number,Latency
1721285495.5291452,Interface 2,143,17.34305477142334
1721285495.5674014,Interface 2,144,17.349059104919434
1721285495.5674014,Interface 2,144,17.349059104919434
1721285495.596845,Interface 2,145,17.3443763256073
1721285495.596845,Interface 2,145,17.3443763256073
1721285495.6307702,Interface 2,146,17.34333324432373
1721285495.6307702,Interface 2,146,17.34333324432373
1721285495.6637714,Interface 2,147,17.340306997299194
1721285495.6637714,Interface 2,147,17.340306997299194
1721285495.696888,Interface 2,148,17.34333038330078
1721285495.696888,Interface 2,148,17.34333038330078
1721285495.7305062,Interface 2,149,17.343672513961792
1721285495.7305062,Interface 2,149,17.343672513961792
1721285495.7634006,Interface 2,150,17.342223644256592
1721285495.7634006,Interface 2,150,17.342223644256592
1721285495.7988079,Interface 2,151,17.34464955329895
1721285495.7988079,Interface 2,151,17.34464955329895
1721285495.8313804,Interface 2,152,17.34248971939087
1721285495.8313804,Interface 2,152,17.34248971939087
1721285495.8648388,Interface 2,153,17.343206644058228
1721285495.8648388,Interface 2,153,17.343206644058228
1721285495.8974066,Interface 2,154,17.342000246047974
1721285495.8974066,Interface 2,154,17.342000246047974
1721285495.9313223,Interface 2,155,17.339313983917236
1721285495.9313223,Interface 2,155,17.339313983917236
1721285495.965096,Interface 2,156,17.343399047851562
1721285495.965096,Interface 2,156,17.343399047851562
1721285496.0004292,Interface 2,157,17.34467339515686
1721285496.0004292,Interface 2,157,17.34467339515686
1721285496.0321872,Interface 2,158,17.342455863952637
1721285496.0321872,Interface 2,158,17.342455863952637
1721285496.0652125,Interface 2,159,17.342352628707886
1721285496.0652125,Interface 2,159,17.342352628707886
1721285496.0986505,Interface 2,160,17.34106731414795
1721285496.0986505,Interface 2,160,17.34106731414795
1721285496.131576,Interface 2,161,17.339290618896484
1721285496.131576,Interface 2,161,17.339290618896484
1721285496.165596,Interface 2,162,17.34298038482666
1721285496.165596,Interface 2,162,17.34298038482666
1721285496.198462,Interface 2,163,17.341232299804688
1721285496.198462,Interface 2,163,17.341232299804688
1721285496.2319632,Interface 2,164,17.341742038726807
1721285496.2319632,Interface 2,164,17.341742038726807
1721285496.2684674,Interface 2,165,17.34450936317444
1721285496.2684674,Interface 2,165,17.34450936317444
1721285496.2991264,Interface 2,166,17.341475009918213
1721285496.2991264,Interface 2,166,17.341475009918213
1721285496.3317661,Interface 2,167,17.339250087738037
1721285496.3317661,Interface 2,167,17.339250087738037
1721285496.3658922,Interface 2,168,17.341530561447144
1721285496.3658922,Interface 2,168,17.341530561447144
1721285496.399894,Interface 2,169,17.34159517288208
1721285496.399894,Interface 2,169,17.34159517288208
1721285496.4332485,Interface 2,170,17.34104609489441
1721285496.4332485,Interface 2,170,17.34104609489441
1721285496.4674246,Interface 2,171,17.341989517211914
1721285496.4674246,Interface 2,171,17.341989517211914
1721285496.5005605,Interface 2,172,17.341646432876587
1721285496.5005605,Interface 2,172,17.341646432876587
1721285496.5341632,Interface 2,173,17.342222690582275
1721285496.5341632,Interface 2,173,17.342222690582275
1721285496.5674012,Interface 2,174,17.341755867004395
1721285496.5674012,Interface 2,174,17.341755867004395
1721285496.6019764,Interface 2,175,17.343414306640625
1721285496.6019764,Interface 2,175,17.343414306640625
1721285496.6345239,Interface 2,176,17.342103004455566
1721285496.6345239,Interface 2,176,17.342103004455566
1721285496.6682696,Interface 2,177,17.343061208724976
1721285496.6682696,Interface 2,177,17.343061208724976
1721285496.702499,Interface 2,178,17.343339681625366
1721285496.702499,Interface 2,178,17.343339681625366
1721285496.7354467,Interface 2,179,17.338621616363525
1721285496.7354467,Interface 2,179,17.338621616363525
1721285496.7693744,Interface 2,180,17.343835592269897
1721285496.7693744,Interface 2,180,17.343835592269897
1721285496.8023326,Interface 2,181,17.33844780921936
1721285496.8023326,Interface 2,181,17.33844780921936
1721285496.8361182,Interface 2,182,17.342254877090454
1721285496.8361182,Interface 2,182,17.342254877090454
1721285496.869978,Interface 2,183,17.34250020980835
1721285496.869978,Interface 2,183,17.34250020980835
1721285496.9023798,Interface 2,184,17.34228491783142
1721285496.9023798,Interface 2,184,17.34228491783142
1721285496.9368455,Interface 2,185,17.34261679649353
1721285496.9368455,Interface 2,185,17.34261679649353
1721285496.969735,Interface 2,186,17.342601776123047
1721285496.969735,Interface 2,186,17.342601776123047
1721285497.0024786,Interface 2,187,17.341591119766235
1721285497.0024786,Interface 2,187,17.341591119766235
1721285497.0364895,Interface 2,188,17.342478275299072
1721285497.0364895,Interface 2,188,17.342478275299072
1721285497.0700986,Interface 2,189,17.342207193374634
1721285497.0700986,Interface 2,189,17.342207193374634
1721285497.1039019,Interface 2,190,17.34336018562317
1721285497.1039019,Interface 2,190,17.34336018562317
1721285497.1375675,Interface 2,191,17.342203855514526
1721285497.1375675,Interface 2,191,17.342203855514526
1721285497.1722586,Interface 2,192,17.344874143600464
1721285497.1722586,Interface 2,192,17.344874143600464
1721285497.2043188,Interface 2,193,17.342930793762207
1721285497.2043188,Interface 2,193,17.342930793762207
1721285497.2382846,Interface 2,194,17.343281030654907
1721285497.2382846,Interface 2,194,17.343281030654907
1721285497.2724988,Interface 2,195,17.34378743171692
1721285497.2724988,Interface 2,195,17.34378743171692
1721285497.309435,Interface 2,196,17.347440719604492
1721285497.309435,Interface 2,196,17.347440719604492
1721285497.3393555,Interface 2,197,17.344866275787354
1721285497.3393555,Interface 2,197,17.344866275787354
1721285497.3718128,Interface 2,198,17.34321641921997
1721285497.3718128,Interface 2,198,17.34321641921997
1721285497.4075978,Interface 2,199,17.34523916244507
1721285497.4075978,Interface 2,199,17.34523916244507
1721285497.4396684,Interface 2,200,17.34310746192932
1721285497.4396684,Interface 2,200,17.34310746192932
1721285497.4733856,Interface 2,201,17.342098474502563
1721285497.4733856,Interface 2,201,17.342098474502563
1721285497.5073888,Interface 2,202,17.34530544281006
1721285497.5073888,Interface 2,202,17.34530544281006
1721285497.5407305,Interface 2,203,17.344867706298828
1721285497.5407305,Interface 2,203,17.344867706298828
1721285497.5733914,Interface 2,204,17.34367823600769
1721285497.5733914,Interface 2,204,17.34367823600769
