Interface,Sequence Number,Arrival Time,Latency
121.128.92.46,385,1721294443.2684147,0.2055058479309082
121.128.92.46,386,1721294443.3013523,0.20496416091918945
121.128.92.46,387,1721294443.3343852,0.20421409606933594
121.128.92.46,388,1721294443.3693504,0.20539236068725586
121.128.92.46,389,1721294443.4018526,0.20434355735778809
121.128.92.46,390,1721294443.4364471,0.20525312423706055
121.128.92.46,391,1721294443.4698184,0.20487546920776367
121.128.92.46,392,1721294443.5028543,0.2046194076538086
121.128.92.46,393,1721294443.536375,0.20485901832580566
121.128.92.46,394,1721294443.5702543,0.20514130592346191
121.128.92.46,395,1721294443.6033216,0.2046375274658203
121.128.92.46,396,1721294443.6415439,0.20913481712341309
121.128.92.46,397,1721294443.6711786,0.2051095962524414
121.128.92.46,398,1721294443.7045515,0.2049565315246582
121.128.92.46,399,1721294443.738053,0.205125093460083
121.128.92.46,400,1721294443.770914,0.20440411567687988
121.128.92.46,401,1721294443.8044415,0.2044384479522705
121.128.92.46,402,1721294443.8392746,0.20543360710144043
121.128.92.46,403,1721294443.872191,0.20467305183410645
121.128.92.46,404,1721294443.9062579,0.20492982864379883
121.128.92.46,405,1721294443.9401197,0.20502662658691406
121.128.92.46,406,1721294443.973585,0.2048029899597168
121.128.92.46,407,1721294444.0085337,0.2060236930847168
121.128.92.46,408,1721294444.0408263,0.20463824272155762
121.128.92.46,409,1721294444.0743499,0.2046668529510498
121.128.92.46,410,1721294444.1113439,0.20792675018310547
121.128.92.46,411,1721294444.1414747,0.20469069480895996
121.128.92.46,412,1721294444.1749713,0.20463323593139648
121.128.92.46,413,1721294444.2089283,0.20489144325256348
121.128.92.46,414,1721294444.2431822,0.2057952880859375
121.128.92.46,415,1721294444.2756662,0.20473313331604004
121.128.92.46,416,1721294444.3095384,0.2048633098602295
121.128.92.46,417,1721294444.3428237,0.20457983016967773
121.128.92.46,418,1721294444.3773375,0.20533037185668945
121.128.92.46,419,1721294444.4103737,0.20470356941223145
121.128.92.46,420,1721294444.4442425,0.20473146438598633
121.128.92.46,421,1721294444.4818623,0.20870542526245117
121.128.92.46,422,1721294444.5118477,0.2049267292022705
121.128.92.46,423,1721294444.5452192,0.20444917678833008
121.128.92.46,424,1721294444.579686,0.20528483390808105
121.128.92.46,425,1721294444.6135552,0.2054121494293213
121.128.92.46,426,1721294444.6459608,0.2044978141784668
121.128.92.46,427,1721294444.682147,0.20696496963500977
