Interface IP,Interface ID,Sequence Number,Latency
39.7.28.20,1,153,0.12403154373168945
39.7.28.20,1,154,0.12453031539916992
39.7.28.20,1,155,0.1245272159576416
39.7.28.20,2,156,0.12543988227844238
39.7.28.20,2,157,0.12575268745422363
39.7.28.20,1,156,0.12616586685180664
39.7.28.20,1,157,0.12647080421447754
39.7.28.20,1,158,0.12630295753479004
39.7.28.20,2,158,0.12712979316711426
39.7.28.20,1,159,0.127976655960083
39.7.28.20,1,160,0.12879347801208496
39.7.28.20,2,159,0.12876653671264648
39.7.28.20,2,160,0.1289820671081543
39.7.28.20,1,161,0.12921905517578125
39.7.28.20,2,161,0.1289384365081787
39.7.28.20,1,162,0.10071969032287598
39.7.28.20,2,162,0.10274100303649902
39.7.28.20,1,163,0.10347771644592285
39.7.28.20,1,164,0.10338592529296875
39.7.28.20,1,165,0.11286067962646484
39.7.28.20,2,163,0.11494874954223633
39.7.28.20,1,166,0.12161731719970703
39.7.28.20,2,164,0.12268757820129395
39.7.28.20,1,167,0.12267279624938965
39.7.28.20,2,165,0.1238093376159668
39.7.28.20,2,166,0.12377262115478516
39.7.28.20,2,167,0.12372899055480957
39.7.28.20,1,168,0.12546396255493164
39.7.28.20,1,169,0.1257491111755371
39.7.28.20,2,168,0.13410067558288574
39.7.28.20,2,169,0.13410353660583496
39.7.28.20,2,170,0.13409757614135742
39.7.28.20,2,171,0.13419675827026367
39.7.28.20,2,172,0.1340804100036621
39.7.28.20,1,170,0.13517475128173828
39.7.28.20,1,171,0.13502120971679688
39.7.28.20,1,172,0.1349630355834961
39.7.28.20,2,173,0.13487696647644043
39.7.28.20,1,173,0.1352405548095703
39.7.28.20,1,174,0.10396337509155273
39.7.28.20,2,174,0.1222069263458252
39.7.28.20,1,175,0.12253642082214355
39.7.28.20,2,175,0.1315617561340332
39.7.28.20,1,176,0.13174867630004883
39.7.28.20,1,177,0.1319713592529297
39.7.28.20,2,176,0.13237500190734863
39.7.28.20,2,179,0.13241863250732422
39.7.28.20,1,179,0.13287949562072754
39.7.28.20,1,178,0.14279413223266602
39.7.28.20,2,177,0.14332175254821777
39.7.28.20,2,178,0.14333176612854004
39.7.28.20,1,180,0.10974931716918945
39.7.28.20,1,181,0.10975790023803711
39.7.28.20,2,180,0.11006331443786621
39.7.28.20,2,181,0.10997295379638672
39.7.28.20,2,182,0.11024832725524902
39.7.28.20,2,183,0.11475634574890137
39.7.28.20,2,184,0.11495327949523926
39.7.28.20,2,185,0.11494016647338867
39.7.28.20,1,182,0.11561155319213867
39.7.28.20,1,183,0.11548757553100586
39.7.28.20,1,184,0.11563968658447266
39.7.28.20,1,185,0.1157524585723877
39.7.28.20,2,186,0.1287527084350586
39.7.28.20,2,187,0.1289501190185547
39.7.28.20,1,186,0.129547119140625
39.7.28.20,1,187,0.1290726661682129
39.7.28.20,1,188,0.12895512580871582
39.7.28.20,2,188,0.12929296493530273
39.7.28.20,2,189,0.1342792510986328
39.7.28.20,2,190,0.136674165725708
39.7.28.20,2,191,0.13688039779663086
39.7.28.20,1,189,0.1374967098236084
39.7.28.20,1,190,0.13758635520935059
39.7.28.20,1,191,0.137681245803833
39.7.28.20,2,192,0.10432314872741699
39.7.28.20,2,193,0.11282157897949219
39.7.28.20,1,192,0.11340045928955078
39.7.28.20,1,193,0.11344575881958008
39.7.28.20,2,194,0.1135411262512207
39.7.28.20,1,194,0.12300944328308105
39.7.28.20,2,195,0.12323236465454102
39.7.28.20,1,195,0.13136649131774902
39.7.28.20,1,196,0.13146495819091797
39.7.28.20,2,196,0.13181805610656738
39.7.28.20,1,197,0.131666898727417
39.7.28.20,2,197,0.1320028305053711
39.7.28.20,2,198,0.1199042797088623
39.7.28.20,1,198,0.12021970748901367
39.7.28.20,2,199,0.1202993392944336
39.7.28.20,2,200,0.12123274803161621
39.7.28.20,1,199,0.1216435432434082
39.7.28.20,1,200,0.12982559204101562
39.7.28.20,1,201,0.12988996505737305
39.7.28.20,1,202,0.13000726699829102
39.7.28.20,2,201,0.1305544376373291
39.7.28.20,2,202,0.1305253505706787
39.7.28.20,1,203,0.1304488182067871
39.7.28.20,2,203,0.13069629669189453
39.7.28.20,1,204,0.13338398933410645
39.7.28.20,1,205,0.1334984302520752
39.7.28.20,1,206,0.1336052417755127
39.7.28.20,2,204,0.13439154624938965
39.7.28.20,2,205,0.13441705703735352
39.7.28.20,2,206,0.13440918922424316
39.7.28.20,1,207,0.13410186767578125
39.7.28.20,1,208,0.13405942916870117
39.7.28.20,2,207,0.13476228713989258
39.7.28.20,2,208,0.1349024772644043
39.7.28.20,1,209,0.13450169563293457
39.7.28.20,2,209,0.1350722312927246
